ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;39;57
1;4;70;80
1;5;63;73
1;6;65;79
1;7;55;74
1;8;61;70
1;9;44;60
1;10;36;55
1;11;42;60
1;12;39;57
1;13;44;60
1;14;28;48
1;15;13;35
1;16;15;34
1;2;999;999
2;1;999;999
2;3;999;999
2;4;999;999
2;5;999;999
2;6;999;999
2;7;999;999
2;8;999;999
2;9;999;999
2;10;999;999
2;11;999;999
2;12;999;999
2;13;999;999
2;14;999;999
2;15;999;999
2;16;999;999
2;2;999;999
3;1;36;55
3;3;0;0
3;4;43;57
3;5;24;46
3;6;39;55
3;7;38;62
3;8;34;47
3;9;19;37
3;10;6;27
3;11;27;50
3;12;6;26
3;13;9;29
3;14;20;43
3;15;48;68
3;16;31;49
3;2;36;55
4;1;67;79
4;3;42;57
4;4;0;0
4;5;11;33
4;6;47;64
4;7;59;74
4;8;13;35
4;9;32;50
4;10;45;58
4;11;53;69
4;12;41;59
4;13;35;52
4;14;46;62
4;15;74;89
4;16;56;69
4;2;67;79
5;1;57;67
5;3;32;46
5;4;12;37
5;5;0;0
5;6;36;52
5;7;49;62
5;8;6;29
5;9;22;38
5;10;39;51
5;11;42;58
5;12;30;47
5;13;25;40
5;14;35;51
5;15;64;77
5;16;46;57
5;2;57;67
6;1;64;76
6;3;41;55
6;4;48;63
6;5;41;55
6;6;0;0
6;7;21;43
6;8;39;52
6;9;25;44
6;10;48;61
6;11;36;55
6;12;39;56
6;13;33;50
6;14;38;59
6;15;57;75
6;16;53;66
6;2;64;76
7;1;53;74
7;3;38;65
7;4;58;76
7;5;52;69
7;6;22;45
7;7;0;0
7;8;49;66
7;9;27;51
7;10;45;71
7;11;15;39
7;12;33;61
7;13;34;61
7;14;29;55
7;15;42;60
7;16;42;65
7;2;53;74
8;1;62;72
8;3;37;50
8;4;9;32
8;5;5;27
8;6;41;57
8;7;54;67
8;8;0;0
8;9;26;43
8;10;39;53
8;11;47;63
8;12;35;52
8;13;29;45
8;14;40;55
8;15;68;82
8;16;51;62
8;2;62;72
9;1;42;59
9;3;19;38
9;4;32;50
9;5;26;42
9;6;22;46
9;7;29;51
9;8;23;39
9;9;0;0
9;10;27;43
9;11;18;42
9;12;17;39
9;13;12;33
9;14;20;43
9;15;48;69
9;16;31;49
9;2;42;59
10;1;33;54
10;3;6;26
10;4;42;56
10;5;34;48
10;6;45;59
10;7;49;67
10;8;36;48
10;9;24;41
10;10;0;0
10;11;33;56
10;12;12;32
10;13;15;33
10;14;25;49
10;15;45;66
10;16;29;50
10;2;33;54
11;1;40;58
11;3;27;50
11;4;47;68
11;5;41;61
11;6;32;53
11;7;18;41
11;8;38;58
11;9;17;42
11;10;33;57
11;11;0;0
11;12;22;45
11;13;27;49
11;14;15;39
11;15;34;55
11;16;29;49
11;2;40;58
12;1;37;55
12;3;5;24
12;4;43;58
12;5;24;48
12;6;38;57
12;7;33;58
12;8;34;48
12;9;18;39
12;10;11;31
12;11;22;46
12;12;0;0
12;13;9;31
12;14;15;38
12;15;43;65
12;16;26;45
12;2;37;55
13;1;42;59
13;3;9;29
13;4;31;53
13;5;17;41
13;6;32;52
13;7;37;59
13;8;22;43
13;9;12;34
13;10;15;34
13;11;24;50
13;12;10;32
13;13;0;0
13;14;20;43
13;15;49;69
13;16;31;50
13;2;42;59
14;1;27;46
14;3;19;41
14;4;45;60
14;5;38;53
14;6;35;57
14;7;26;50
14;8;36;50
14;9;19;39
14;10;27;48
14;11;14;36
14;12;15;37
14;13;19;40
14;14;0;0
14;15;32;53
14;16;16;36
14;2;27;46
15;1;14;39
15;3;48;69
15;4;78;90
15;5;71;83
15;6;57;75
15;7;44;62
15;8;69;80
15;9;52;69
15;10;45;67
15;11;35;56
15;12;47;67
15;13;52;70
15;14;31;52
15;15;0;0
15;16;23;43
15;2;14;39
16;1;13;33
16;3;31;50
16;4;57;69
16;5;50;62
16;6;52;67
16;7;42;63
16;8;48;59
16;9;31;48
16;10;29;50
16;11;28;48
16;12;26;46
16;13;31;49
16;14;15;36
16;15;19;42
16;16;0;0
16;2;13;33
