PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;174.88;0;2166.34;138.98
2;1;0;528;4;0;528;65.18;0;6949.76;144.8
3;1;0;528;5;0;528;61.68;0;2447.49;109.94
4;1;0;528;6;0;528;15;0;2100;137.01
5;1;0;528;7;0;528;365.6;0;25463.56;491.91
6;1;0;528;8;0;528;177.7;0;11140.7;352.94
7;1;0;528;9;0;528;205.2;0;25055.47;814.74
8;1;0;528;10;0;528;232.4;0;18411.12;1036.44
9;1;0;528;11;0;528;175.87;0;19567.77;1099.01
10;1;0;528;12;0;528;13.86;0;1666.98;174.63
11;1;0;528;13;0;528;55.28;0;9283.08;188.47
12;1;0;528;14;0;528;0.47;0;408.85;174.44
13;1;0;528;15;0;528;121.540;0;4108.48;155.1
