ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;18;43
1;4;44;61
1;5;48;66
1;6;30;49
1;7;61;78
1;8;218;196
1;9;51;68
1;10;10;34
1;11;111;117
1;12;70;81
1;13;27;46
1;14;69;83
1;15;60;77
1;16;15;38
1;17;67;78
1;2;450;450
2;1;450;450
2;3;450;450
2;4;450;450
2;5;450;450
2;6;450;450
2;7;450;450
2;8;450;450
2;9;450;450
2;10;450;450
2;11;450;450
2;12;450;450
2;13;450;450
2;14;450;450
2;15;450;450
2;16;450;450
2;17;450;450
2;2;450;450
3;1;19;47
3;3;0;0
3;4;29;50
3;5;33;54
3;6;15;37
3;7;47;66
3;8;216;200
3;9;58;81
3;10;13;37
3;11;118;130
3;12;68;85
3;13;28;53
3;14;76;95
3;15;46;66
3;16;4;27
3;17;50;71
3;2;19;47
4;1;50;66
4;3;32;53
4;4;0;0
4;5;4;25
4;6;19;38
4;7;18;37
4;8;188;171
4;9;41;61
4;10;40;56
4;11;96;105
4;12;39;56
4;13;26;48
4;14;54;71
4;15;17;36
4;16;36;55
4;17;21;41
4;2;50;66
5;1;49;69
5;3;34;55
5;4;7;28
5;5;0;0
5;6;21;41
5;7;14;33
5;8;186;171
5;9;45;65
5;10;42;59
5;11;100;110
5;12;38;56
5;13;30;52
5;14;58;76
5;15;13;32
5;16;38;57
5;17;17;37
5;2;49;69
6;1;32;53
6;3;17;39
6;4;14;33
6;5;18;38
6;6;0;0
6;7;32;50
6;8;202;184
6;9;48;71
6;10;25;43
6;11;110;118
6;12;53;69
6;13;31;55
6;14;68;84
6;15;31;49
6;16;21;41
6;17;35;54
6;2;32;53
7;1;67;78
7;3;47;67
7;4;20;40
7;5;14;34
7;6;34;53
7;7;0;0
7;8;175;161
7;9;39;57
7;10;55;71
7;11;91;101
7;12;27;46
7;13;43;62
7;14;49;67
7;15;1;23
7;16;51;69
7;17;6;28
7;2;67;78
8;1;216;194
8;3;217;200
8;4;190;173
8;5;187;171
8;6;204;186
8;7;175;160
8;8;0;0
8;9;189;170
8;10;219;200
8;11;194;192
8;12;151;138
8;13;191;178
8;14;179;165
8;15;174;160
8;16;221;202
8;17;173;158
8;2;216;194
9;1;49;67
9;3;58;81
9;4;45;62
9;5;48;65
9;6;50;74
9;7;39;57
9;8;189;172
9;9;0;0
9;10;52;73
9;11;65;83
9;12;40;58
9;13;28;52
9;14;15;42
9;15;38;56
9;16;56;80
9;17;37;55
9;2;49;67
10;1;10;35
10;3;11;34
10;4;37;53
10;5;41;57
10;6;23;40
10;7;55;69
10;8;219;202
10;9;52;74
10;10;0;0
10;11;112;122
10;12;71;87
10;13;23;46
10;14;70;88
10;15;54;69
10;16;9;29
10;17;58;74
10;2;10;35
11;1;107;106
11;3;117;120
11;4;98;98
11;5;100;101
11;6;112;111
11;7;92;93
11;8;195;195
11;9;66;75
11;10;111;112
11;11;0;0
11;12;92;94
11;13;87;91
11;14;55;68
11;15;91;92
11;16;115;119
11;17;89;91
11;2;107;106
12;1;70;83
12;3;71;89
12;4;44;61
12;5;41;60
12;6;58;75
12;7;29;49
12;8;153;142
12;9;40;62
12;10;73;89
12;11;93;106
12;12;0;0
12;13;45;67
12;14;51;72
12;15;28;49
12;16;75;91
12;17;26;47
12;2;70;83
13;1;26;47
13;3;29;55
13;4;26;47
13;5;29;50
13;6;32;53
13;7;42;60
13;8;190;176
13;9;28;50
13;10;24;47
13;11;87;98
13;12;42;61
13;13;0;0
13;14;45;64
13;15;41;59
13;16;28;55
13;17;39;58
13;2;26;47
14;1;63;76
14;3;72;90
14;4;54;68
14;5;56;71
14;6;68;81
14;7;47;63
14;8;179;166
14;9;13;40
14;10;67;82
14;11;51;78
14;12;48;64
14;13;43;61
14;14;0;0
14;15;47;62
14;16;71;89
14;17;45;61
14;2;63;76
15;1;67;78
15;3;46;66
15;4;19;38
15;5;13;33
15;6;33;52
15;7;0;21
15;8;175;160
15;9;38;57
15;10;54;70
15;11;91;100
15;12;26;45
15;13;42;62
15;14;49;66
15;15;0;0
15;16;50;68
15;17;5;27
15;2;67;78
16;1;16;42
16;3;4;26
16;4;33;52
16;5;37;56
16;6;19;39
16;7;51;68
16;8;221;202
16;9;57;81
16;10;10;31
16;11;117;129
16;12;72;87
16;13;27;53
16;14;75;95
16;15;50;68
16;16;0;0
16;17;54;73
16;2;16;42
17;1;63;74
17;3;49;71
17;4;22;43
17;5;16;38
17;6;36;56
17;7;5;27
17;8;171;156
17;9;34;53
17;10;57;75
17;11;87;97
17;12;22;41
17;13;38;58
17;14;44;63
17;15;4;26
17;16;53;73
17;17;0;0
17;2;63;74
