PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;4.62;0;376.35;14.01
2;1;0;528;4;0;528;30.19;0;1736.26;37.46
3;1;0;528;4;0;528;47.06;0;4425.36;41.13
4;1;0;528;5;0;528;1;0;1128.25;97.38
5;1;0;528;6;0;528;141.3;0;9838.23;190.06
6;1;0;528;7;0;528;137.98;0;6939.6;183.49
7;1;0;528;8;0;528;37.77;0;2637.23;37.24
8;1;0;528;9;0;528;60.17;0;4208.24;39.59
9;1;0;528;10;0;528;122.23;0;8164.36;48.57
10;1;0;528;11;0;528;112.84;0;6668.14;75.93
11;1;0;528;12;0;528;43.53;0;7596;44
12;1;0;528;13;0;528;18.15;0;2085.85;29.3
13;1;0;528;14;0;528;1.74;0;107.8;54.03
14;1;0;528;15;0;528;98.22;0;4029.38;47.14
15;1;0;528;16;0;528;13.34;0;328.28;14.01
16;1;0;528;17;0;528;79.5;0;1992.51;19.49
17;1;0;528;18;0;528;10.74;0;359.48;14.01
